Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3208;;;-4,439407;17,80657;Bridge;Surv Apr-Jun 2016;5/26/16;1;0
3209;;;-4,394001;17,888663;;Surv Apr-Jun 2016;5/26/16;1;0
3210;;;-4,394528;17,888681;Fishpond;Surv Apr-Jun 2016;5/26/16;1;0
3211;;;-4,395089;17,888394;;Surv Apr-Jun 2016;5/26/16;1;0
3212;;;-4,395555;17,888394;;Surv Apr-Jun 2016;5/26/16;1;0
3213;;;-4,395969;17,888521;;Surv Apr-Jun 2016;5/26/16;1;0
3214;;;-4,39638;17,888831;;Surv Apr-Jun 2016;5/26/16;1;0
3215;;;-4,382705;17,91354;Small canopy;Surv Apr-Jun 2016;5/26/16;1;0
3216;;;-4,382636;17,913348;Small canopy;Surv Apr-Jun 2016;5/26/16;1;0
3217;;;-4,382499;17,912882;Small canopy;Surv Apr-Jun 2016;5/26/16;1;0
3218;;;-4,382174;17,912703;Small canopy;Surv Apr-Jun 2016;5/26/16;1;0
3219;;;-4,381664;17,912683;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3220;;;-4,381153;17,912512;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3222;;;-4,380834;17,912419;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3223;;;-4,380534;17,911913;;Surv Apr-Jun 2016;5/26/16;1;0
3224;;;-4,379485;17,912451;;Surv Apr-Jun 2016;5/26/16;1;0
3225;;;-4,377164;17,924536;;Surv Apr-Jun 2016;5/26/16;1;0
3226;;;-4,376847;17,924188;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3227;;;-4,376353;17,923981;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3228;;;-4,376;17,92374;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3229;;;-4,375758;17,923344;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3230;;;-4,375445;17,922964;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3231;;;-4,374973;17,922853;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3232;;;-4,374574;17,922678;Forest;Surv Apr-Jun 2016;5/26/16;1;0
3233;;;-4,37433;17,922278;Forest;Surv Apr-Jun 2016;5/26/16;1;0
