Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
YAS01;T0;7/2/15;7/4/15;IN;1;0;0;; ; ; ;357; ; 
YAS01;T1;11/23/15;11/25/15;IN;0;0;0;;0,010054290304105;Lukula;0;357;357;0
YAS01;T3;4/26/16;4/28/16;IN;0;0;0;;0,00739881402012058;Lukula;0;357;357;0
YAS01;T8;7/19/17;7/21/17;IN;0;0;0;;0,0015887178233148;Lukula;0;357;357;0
YAS01;T4;7/29/16;7/31/16;IN;0;0;0;;0,00739881402012058;Lukula;0;357;357;0
YAS01;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00739881402012058;Lukula;0;357;357;0
YAS02;T1;11/23/15;11/25/15;IN;0;0;0;;0,0433383479443222;Lukula;1;358;357;1
YAS02;T2;2/5/16;2/7/16;IN;0;0;0;;0,0433383479443222;Lukula;1;358;357;1
YAS02;T6;2/7/17;2/9/17;IN;0;0;0;;0,0401088597281776;Lukula;1;358;357;1
YAS02;T4;7/29/16;7/31/16;IN;0;0;0;;0,0401088597281776;Lukula;1;358;357;1
YAS02;T0;7/2/15;7/4/15;IN;0;0;0;; ; ; ;358; ; 
YAS02;T7;5/1/17;5/3/17;IN;0;0;0;;0,0401088597281776;Lukula;1;358;357;1
YAS02;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,0401088597281776;Lukula;1;358;357;1
YAS02;T3;4/26/16;4/28/16;IN;0;0;0;;0,0401088597281776;Lukula;1;358;357;1
YAS02;T8;7/19/17;7/21/17;IN;0;0;0;;0,0401088597281776;Lukula;1;358;357;1
YAS03;T7;5/1/17;5/3/17;IN;0;0;0;;0,00624582849157007;Lukula;0;357;357;0
YAS03;T6;2/7/17;2/9/17;IN;0;0;0;;0,00624582849157007;Lukula;0;357;357;0
YAS03;T8;7/19/17;7/21/17;IN;0;0;0;;0,00624582849157007;Lukula;0;357;357;0
YAS03;T1;11/23/15;11/25/15;IN;0;0;0;;0,00955601149750785;Lukula;0;357;357;0
YAS03;T4;7/29/16;7/31/16;IN;0;0;0;;0,00955601149750785;Lukula;0;357;357;0
YAS03;T0;7/2/15;7/4/15;IN;1;8;0;; ; ; ;357; ; 
YAS03;T2;2/5/16;2/7/16;IN;0;0;0;;0,00955601149750785;Lukula;0;357;357;0
YAS03;T3;4/26/16;4/28/16;IN;0;0;0;;0,00955601149750785;Lukula;0;357;357;0
YAS03;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00624582849157007;Lukula;0;357;357;0
YAS04;T2;2/5/16;2/7/16;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T4;7/29/16;7/31/16;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T3;4/26/16;4/28/16;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T6;2/7/17;2/9/17;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T1;11/23/15;11/25/15;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T0;7/2/15;7/4/15;IN;1;1;0;; ; ; ;357; ; 
YAS04;T5;11/1/16;11/3/16;3 deployments;0;1;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T7;5/1/17;5/3/17;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS04;T8;7/19/17;7/21/17;IN;0;0;0;;0,00266728839485738;Lukula;0;357;357;0
YAS05;T3;4/26/16;4/28/16;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T4;7/29/16;7/31/16;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T7;5/1/17;5/3/17;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T2;2/5/16;2/7/16;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T1;11/23/15;11/25/15;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T6;2/7/17;2/9/17;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS05;T0;7/2/15;7/4/15;IN;1;3;0;; ; ; ;357; ; 
YAS05;T8;7/19/17;7/21/17;IN;0;0;0;;0,000701635694733742;Lukula;0;357;357;0
YAS06;T4;7/29/16;7/31/16;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T7;5/1/17;5/3/17;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T1;11/23/15;11/25/15;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T2;2/5/16;2/7/16;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T3;4/26/16;4/28/16;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T0;7/2/15;7/4/15;IN;0;4;0;; ; ; ;357; ; 
YAS06;T6;2/7/17;2/9/17;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS06;T8;7/19/17;7/21/17;IN;0;0;0;;0,00273384057963561;Lukula;0;357;357;0
YAS07;T7;5/1/17;5/3/17;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T4;7/29/16;7/31/16;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T6;2/7/17;2/9/17;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T0;7/2/15;7/4/15;IN;2;4;0;; ; ; ;357; ; 
YAS07;T1;11/23/15;11/25/15;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T2;2/5/16;2/7/16;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T3;4/26/16;4/28/16;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS07;T8;7/19/17;7/21/17;IN;0;0;0;;0,00990398466713229;Lukula;0;357;357;0
YAS08;T2;2/5/16;2/7/16;IN;0;1;0;;0,0152220836514572;Lukula;0;361;361;0
YAS08;T6;2/7/17;2/9/17;IN;0;0;0;;0,000709610900656426;Lukula;0;361;361;0
YAS08;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,000709610900656426;Lukula;0;361;361;0
YAS08;T4;7/29/16;7/31/16;IN;0;0;0;;0,00696896055987747;Lukula;0;361;361;0
